,Year,Month,Day
0,2023,10,31
1,2023,8,01
2,2023,5,02
3,2023,1,31
4,2022,11,01
5,2022,8,02
6,2022,5,03
7,2022,2,01
8,2021,10,26
9,2021,7,27
10,2021,4,27
11,2021,1,26
12,2020,10,27
13,2020,7,28
14,2020,4,28
15,2020,1,28
16,2019,10,29
17,2019,7,30
18,2019,4,30
19,2019,1,29
20,2018,10,24
21,2018,7,25
22,2018,4,25
23,2018,1,30
24,2017,10,24
25,2017,7,25
26,2017,5,01
27,2017,1,31
28,2016,10,20
29,2016,7,21
30,2016,4,21
31,2016,1,19
32,2015,10,15
33,2015,7,16
34,2015,4,16
35,2015,1,20
36,2014,10,16
37,2014,7,17
38,2014,4,17
39,2014,1,21
40,2013,10,17
41,2013,7,18
42,2013,4,18
43,2013,1,22
44,2012,10,18
45,2012,7,19
46,2012,4,19
47,2012,1,24
48,2011,10,27
49,2011,7,21
50,2011,4,21
51,2011,1,20
52,2010,10,14
53,2010,7,15
54,2010,4,15
55,2010,1,21
56,2009,10,15
57,2009,7,21
58,2009,4,21
59,2009,1,22
60,2008,10,16
61,2008,7,17
62,2008,4,17
63,2008,1,17
64,2007,10,18
65,2007,7,19
66,2007,4,19
67,2007,1,23
68,2006,10,18
69,2006,7,20
70,2006,4,12
71,2006,1,18
72,2005,10,11
73,2005,7,13
74,2005,4,13
75,2005,1,18
76,2004,10,07
77,2004,7,14
78,2004,4,14
79,2004,1,20
80,2003,10,16
81,2003,7,16
82,2003,4,16
83,2003,1,16
84,2002,10,16
85,2002,7,17
86,2002,4,17
87,2002,1,16
88,2001,10,17
89,2001,7,12
90,2001,4,18
91,2001,1,17
92,2000,10,11
93,2000,7,19
94,2000,4,12
